id,ranking_score,agent_id,geography_name,sq_meters,price,year_of_construction,floor,subtype,rooms,no_of_bathrooms,no_of_wc,ad_type,living_rooms,kitchens,balcony_area,lux_home,new_development,garage,furnished,preserved,investment,unfinished,heating_under_floor,renovated,requires_renovation,airy,bright,painted,garden,ac,storage,balcony,internal_stairs,view,secure_door,penthouse,alarm,corner,holiday_home,student_home,night_power,neoclassic,double_glass,for_commercial_use,fireplace,elevator,satellite,solar_heater,attic,pool,playroom
40431373,76.5,11240.0,south beach,1680,4150000,2008,0,other residential,1,1,1,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42528800,57.5,12543.0,south beach,100,180000,1985,2,apartment,2,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42530223,156.2,16979.0,south beach,57,150000,1983,4,apartment,1,1,0,simple,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42530300,64.3,8155.0,south beach,55,160000,1975,3,apartment,1,0,0,simple,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42530620,94.4,15336.0,south beach,56,175000,1983,4,apartment,1,1,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
42537814,89.3,15645.0,south beach,160,600000,2015,4,apartment,0,2,1,star,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42543362,96.2,11621.0,south beach,53,200000,1992,4,apartment,1,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43305484,143.0,11379.0,south beach,147,440000,1976,4,apartment,3,1,1,simple,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
40434724,104.3,11240.0,south beach,176,968000,2010,1,apartment,3,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
42549069,155.8,14735.0,south beach,113,285000,2000,4,apartment,2,1,1,simple,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
40438416,115.3,11240.0,south beach,470,1100000,2009,0,detached,5,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
43305707,122.5,10113.0,south beach,300,500000,1955,0,building,4,3,0,simple,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
41674656,103.0,9262.0,south beach,240,950000,2003,0,maisonette,4,3,1,simple,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40441269,110.9,11240.0,south beach,310,1800000,2009,3,maisonette,4,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
42559022,139.0,8883.0,south beach,200,600000,1995,2,apartment,3,2,0,simple,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
43305821,110.8,8480.0,south beach,220,780000,1995,1,maisonette,3,2,1,simple,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
42559343,90.2,12172.0,south beach,85,270000,2010,0,maisonette,2,1,0,simple,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0
42559359,86.4,12172.0,south beach,85,270000,2010,1,apartment,2,1,0,simple,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
42530455,74.2,8155.0,south beach,90,260000,1982,4,apartment,2,1,1,simple,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42538107,72.3,12172.0,south beach,130,550000,1970,0,detached,3,1,1,simple,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
43269154,149.2,12670.0,south beach,148,400000,1982,1,maisonette,3,2,0,simple,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42448093,105.1,12727.0,south beach,29,98000,1970,1,studio,1,0,1,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42448104,146.4,10878.0,south beach,119,420000,2008,3,apartment,3,1,0,simple,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
41697500,102.2,11240.0,south beach,235,1100000,1986,0,detached,4,2,1,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
42448195,89.5,11621.0,south beach,150,200000,2000,0,apartment,3,0,1,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42448219,169.0,7302.0,south beach,450,1200000,2002,0,detached,6,4,1,simple,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
42448387,94.6,11621.0,south beach,145,300000,1975,2,apartment,3,2,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
42448389,100.4,11621.0,south beach,140,340000,1980,2,apartment,3,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41713659,61.8,12542.0,south beach,72,130000,1978,1,apartment,2,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42448391,109.9,11621.0,south beach,250,700000,2000,1,apartment,3,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42448416,96.0,11621.0,south beach,150,250000,1958,1,apartment,3,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42448423,100.1,11621.0,south beach,113,680000,2010,0,apartment,3,0,1,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
42448425,95.1,11621.0,south beach,118,530000,2010,1,apartment,3,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
